State,County,Population,"Population Speaking Spanish at Home
(Age 5+)",Hispanic/Latino,White Alone,Black/African American Alone,American Indian/Alaskan Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,"Household Income
<$25k","Household Income
$25k-$50k","Household Income
$50k-$75k","Household Income
$75k-$100k","Household Income
$100k-$150k","Household Income
$150k-$250k","Household Income
$250k+",Median Household Income,No High School Degree,High School Degree,Some College,Undergraduate Degree,Post-Graduate Degree
Colorado,Alamosa County,"16,351",29.1%,46.5%,72.3%,1.6%,3.6%,1.2%,0.1%,16.0%,5.2%,27.9%,27.6%,18.4%,10.7%,8.6%,5.3%,1.5%,"$44,584",13.5%,27.2%,25.7%,23.4%,10.2%
Colorado,Arapahoe County,"668,864",13.1%,20.2%,68.7%,11.1%,0.8%,6.6%,0.3%,7.5%,5.0%,11.3%,17.7%,16.6%,13.8%,19.5%,13.4%,7.6%,"$82,766",7.5%,21.7%,19.5%,35.7%,15.6%
Colorado,Archuleta County,"14,398",9.9%,18.8%,84.3%,0.7%,2.1%,1.1%,0.1%,8.3%,3.4%,17.1%,28.4%,18.5%,13.0%,14.3%,5.2%,3.5%,"$56,034",7.9%,21.5%,23.8%,33.6%,13.3%
Colorado,Baca County,"3,549",7.8%,11.9%,89.3%,1.0%,1.8%,0.4%,0.0%,4.8%,2.7%,29.4%,28.8%,16.0%,11.0%,10.4%,3.7%,0.7%,"$41,953",14.9%,27.4%,24.6%,27.2%,5.9%
Colorado,Boulder County,"331,157",10.3%,14.4%,85.0%,1.1%,0.7%,5.0%,0.1%,4.8%,3.3%,14.1%,14.7%,13.7%,11.7%,17.5%,16.3%,12.0%,"$91,090",4.3%,11.3%,16.1%,40.2%,28.0%
Colorado,Chaffee County,"20,781",7.1%,10.6%,91.8%,1.7%,1.3%,0.9%,0.1%,2.2%,2.2%,18.6%,22.7%,18.4%,13.0%,16.6%,7.4%,3.3%,"$61,783",7.0%,26.6%,23.5%,29.5%,13.4%
Colorado,Clear Creek County,"9,838",2.8%,8.4%,92.3%,1.3%,1.0%,1.1%,0.0%,1.6%,2.7%,12.9%,21.0%,16.4%,12.9%,22.2%,10.7%,3.8%,"$74,527",1.7%,20.9%,22.6%,36.4%,18.4%
Colorado,Crowley County,"6,102",18.4%,32.5%,74.1%,10.7%,2.6%,1.2%,0.0%,8.8%,2.6%,27.9%,30.8%,17.4%,12.5%,6.9%,4.3%,0.3%,"$41,931",15.8%,44.2%,18.9%,18.1%,3.1%
Colorado,Dolores County,"2,060",5.5%,7.1%,90.5%,0.5%,3.3%,0.3%,0.1%,2.3%,3.1%,19.5%,33.7%,16.3%,9.2%,14.8%,4.5%,2.0%,"$47,318",8.1%,38.1%,24.6%,20.4%,8.7%
Colorado,Eagle County,"55,587",24.0%,30.3%,82.0%,1.4%,0.8%,1.2%,0.0%,12.5%,2.2%,7.2%,14.6%,15.2%,14.7%,22.6%,15.9%,9.9%,"$97,113",10.6%,15.7%,15.9%,44.2%,13.5%
Colorado,Fremont County,"48,163",6.5%,14.2%,89.2%,3.9%,1.6%,1.0%,0.0%,1.9%,2.4%,22.7%,26.1%,17.7%,12.6%,14.3%,5.0%,1.7%,"$51,715",9.6%,39.6%,24.0%,20.0%,6.9%
Colorado,Garfield County,"60,781",23.6%,29.4%,80.9%,0.9%,1.1%,0.9%,0.1%,13.1%,3.0%,11.0%,17.2%,16.3%,16.0%,21.9%,13.2%,4.4%,"$83,613",12.1%,28.6%,20.2%,28.7%,10.6%
Colorado,Grand County,"15,910",6.6%,9.8%,90.9%,1.1%,0.9%,0.8%,0.1%,4.0%,2.2%,13.3%,20.1%,16.6%,16.8%,19.5%,8.9%,4.7%,"$75,052",4.4%,26.4%,21.9%,37.0%,10.2%
Colorado,Gunnison County,"17,829",6.8%,10.0%,90.1%,0.8%,2.0%,0.8%,0.0%,4.0%,2.3%,15.9%,22.1%,19.6%,12.8%,15.7%,10.5%,3.5%,"$65,345",2.8%,15.9%,20.0%,44.4%,16.9%
Colorado,Kit Carson County,"6,894",15.1%,19.0%,88.6%,1.8%,0.6%,0.7%,0.1%,6.2%,2.0%,16.4%,27.6%,22.1%,13.9%,12.6%,5.6%,1.9%,"$56,806",11.1%,37.0%,23.0%,23.1%,5.8%
Colorado,La Plata County,"57,115",7.5%,13.6%,84.7%,0.6%,6.7%,0.7%,0.1%,3.8%,3.5%,13.4%,21.4%,18.0%,13.0%,16.8%,12.0%,5.4%,"$71,124",4.9%,20.3%,23.4%,35.3%,16.1%
Colorado,Lake County,"8,207",26.0%,35.5%,80.3%,0.9%,1.6%,0.7%,0.0%,12.3%,4.1%,24.4%,23.2%,19.7%,12.9%,11.9%,6.8%,1.2%,"$53,017",14.5%,27.1%,16.9%,33.5%,8.0%
Colorado,Las Animas County,"14,459",19.5%,41.8%,82.0%,1.9%,2.6%,1.2%,0.1%,8.4%,3.8%,29.1%,25.9%,21.7%,9.5%,7.4%,5.2%,1.1%,"$44,908",12.1%,28.8%,27.2%,24.8%,7.1%
Colorado,Lincoln County,"5,724",8.1%,15.0%,87.2%,5.5%,1.1%,0.9%,0.1%,2.4%,2.8%,21.3%,25.2%,16.1%,14.7%,14.6%,5.3%,2.8%,"$55,494",9.4%,51.8%,16.8%,18.1%,4.0%
Colorado,Logan County,"22,190",7.5%,16.9%,88.1%,3.5%,1.4%,0.9%,0.1%,4.0%,2.1%,23.5%,25.8%,19.1%,14.0%,11.5%,3.7%,2.5%,"$50,933",10.4%,32.9%,22.7%,27.2%,6.8%
Colorado,Morgan County,"29,131",29.0%,37.8%,76.1%,3.6%,1.0%,0.7%,0.2%,15.6%,2.9%,19.1%,26.2%,20.5%,14.5%,14.0%,4.7%,1.1%,"$55,749",19.9%,31.2%,22.4%,20.1%,6.4%
Colorado,Otero County,"18,253",23.7%,43.4%,75.6%,1.6%,2.0%,0.8%,0.1%,15.3%,4.6%,37.0%,26.8%,16.8%,8.8%,7.5%,2.5%,0.6%,"$36,124",14.6%,29.3%,26.8%,23.2%,6.1%
Colorado,Ouray County,"5,010",4.8%,7.3%,94.2%,0.1%,0.6%,0.8%,0.2%,1.6%,2.5%,19.5%,19.6%,18.3%,14.3%,17.7%,7.1%,3.4%,"$64,813",1.5%,18.3%,24.5%,35.4%,20.3%
Colorado,Pitkin County,"17,862",9.8%,10.7%,91.2%,1.1%,0.3%,1.9%,0.1%,3.6%,1.8%,7.9%,19.3%,22.0%,12.9%,16.5%,13.1%,8.3%,"$76,480",3.6%,14.8%,13.9%,52.5%,15.2%
Colorado,Prowers County,"12,135",26.6%,40.4%,76.8%,0.9%,1.2%,0.5%,0.0%,16.9%,3.7%,31.9%,29.4%,15.2%,10.6%,10.1%,2.3%,0.6%,"$41,439",17.8%,25.9%,26.5%,24.4%,5.4%
Colorado,Rio Blanco County,"6,253",8.8%,10.7%,89.5%,1.3%,1.4%,0.8%,0.1%,4.0%,2.9%,23.0%,20.6%,17.5%,15.7%,15.7%,6.0%,1.6%,"$59,140",7.0%,33.8%,28.5%,24.4%,6.2%
Colorado,Rio Grande County,"11,152",29.5%,45.2%,75.3%,0.9%,2.4%,0.5%,0.0%,16.9%,4.0%,29.6%,29.9%,14.2%,10.7%,10.0%,4.1%,1.4%,"$42,296",15.4%,30.3%,25.1%,19.9%,9.3%
Colorado,Routt County,"26,124",6.2%,7.3%,93.3%,1.0%,0.5%,0.9%,0.1%,2.2%,1.8%,13.0%,14.1%,16.4%,14.8%,20.6%,13.0%,8.1%,"$85,926",3.2%,19.7%,19.2%,39.7%,18.2%
Colorado,San Miguel County,"8,323",9.3%,11.6%,90.7%,0.8%,1.1%,1.0%,0.0%,4.6%,1.8%,14.9%,19.1%,15.7%,15.1%,17.2%,11.9%,6.2%,"$75,647",4.9%,15.1%,18.7%,45.6%,15.7%
Colorado,Summit County,"31,535",11.6%,15.0%,88.3%,1.2%,0.4%,1.3%,0.1%,6.9%,1.8%,8.9%,17.5%,15.1%,13.8%,24.1%,14.6%,6.1%,"$90,531",6.6%,18.9%,15.8%,45.3%,13.4%
Colorado,Teller County,"25,772",3.1%,7.3%,92.3%,1.0%,1.3%,1.0%,0.1%,1.4%,2.9%,14.9%,19.6%,19.1%,14.1%,18.8%,9.7%,3.8%,"$70,336",4.2%,25.5%,23.0%,33.6%,13.8%
Colorado,Washington County,"4,867",5.9%,11.3%,93.0%,1.3%,0.3%,0.3%,0.1%,2.8%,2.1%,20.6%,29.1%,20.6%,10.6%,13.2%,4.4%,1.4%,"$50,297",7.4%,32.0%,33.1%,23.4%,4.0%
Colorado,Yuma County,"10,029",18.1%,25.3%,84.9%,0.5%,0.6%,0.3%,0.0%,11.9%,1.7%,20.0%,29.8%,17.7%,12.8%,14.2%,4.6%,0.9%,"$50,316",11.7%,33.5%,23.3%,23.8%,7.7%
Delaware,Kent County,"183,707",7.2%,8.1%,62.8%,26.9%,0.6%,2.4%,0.1%,2.7%,4.5%,19.8%,24.3%,19.0%,13.3%,14.6%,6.8%,2.2%,"$57,738",14.8%,33.1%,21.3%,21.4%,9.4%
Delaware,New Castle County,"560,931",9.4%,11.0%,60.0%,26.0%,0.3%,6.0%,0.0%,4.4%,3.2%,16.0%,18.3%,15.7%,13.8%,17.8%,12.3%,6.1%,"$74,906",8.1%,32.9%,16.5%,27.8%,14.7%
Florida,Clay County,"223,884",9.4%,11.4%,77.1%,12.3%,0.5%,3.2%,0.1%,2.8%,4.0%,14.7%,22.4%,20.4%,15.2%,16.4%,7.8%,3.0%,"$65,848",9.8%,30.4%,24.2%,27.9%,7.7%
Florida,Gulf County,"13,014",4.8%,4.9%,79.3%,16.4%,0.6%,0.5%,0.0%,0.9%,2.2%,22.7%,29.1%,16.5%,12.4%,14.3%,4.2%,0.8%,"$48,460",14.2%,37.3%,22.4%,19.0%,7.1%
Florida,Jackson County,"46,098",4.7%,5.4%,67.6%,26.7%,0.8%,0.8%,0.3%,1.5%,2.4%,28.4%,26.5%,18.2%,11.8%,10.1%,4.1%,1.0%,"$44,765",19.2%,37.5%,23.1%,14.8%,5.4%
Florida,Jefferson County,"14,506",3.6%,4.1%,62.2%,33.4%,0.3%,0.7%,0.0%,1.6%,1.8%,23.5%,25.4%,18.2%,11.3%,12.6%,7.7%,1.4%,"$51,537",17.8%,33.3%,18.7%,21.5%,8.7%
Florida,Putnam County,"74,849",9.6%,10.9%,76.2%,16.1%,0.6%,0.6%,0.1%,4.4%,2.1%,27.5%,28.7%,18.1%,10.4%,10.0%,4.4%,1.1%,"$44,387",16.4%,42.7%,18.5%,17.8%,4.6%
Florida,Union County,"15,378",6.4%,6.2%,73.2%,22.4%,0.4%,0.9%,0.0%,0.9%,2.1%,24.6%,28.3%,18.5%,13.6%,10.5%,3.7%,0.8%,"$47,812",23.1%,38.0%,21.5%,15.2%,2.3%
Georgia,Barrow County,"86,175",7.2%,12.7%,75.0%,12.2%,0.3%,3.9%,0.1%,5.4%,3.1%,14.5%,23.6%,17.2%,15.5%,19.7%,7.5%,2.1%,"$67,371",14.5%,33.4%,25.1%,21.0%,5.9%
Georgia,Chattooga County,"24,703",7.9%,6.0%,83.4%,9.3%,0.3%,0.5%,0.2%,3.8%,2.5%,30.4%,29.3%,19.6%,8.4%,8.6%,2.8%,0.9%,"$40,551",26.7%,38.8%,18.3%,12.1%,4.1%
Georgia,Clayton County,"298,326",11.9%,13.4%,13.9%,70.8%,0.3%,5.0%,0.1%,6.9%,3.0%,20.9%,28.7%,20.0%,13.1%,13.0%,3.6%,0.7%,"$50,474",14.4%,33.1%,23.5%,22.5%,6.5%
Georgia,Dawson County,"27,078",2.3%,5.2%,94.2%,0.9%,0.4%,0.9%,0.0%,2.0%,1.6%,13.4%,16.6%,18.5%,14.4%,18.6%,12.2%,6.2%,"$77,492",13.8%,28.6%,20.3%,25.4%,11.9%
Georgia,DeKalb County,"768,011",8.5%,8.5%,32.2%,53.9%,0.3%,6.8%,0.0%,3.9%,2.8%,15.5%,20.2%,16.7%,12.2%,16.2%,11.6%,7.5%,"$71,371",10.2%,21.1%,16.6%,33.1%,19.0%
Georgia,Fannin County,"26,719",3.9%,2.9%,95.6%,0.9%,0.5%,0.7%,0.0%,1.0%,1.3%,22.8%,25.6%,16.4%,13.4%,13.5%,6.5%,1.9%,"$52,406",13.2%,34.3%,23.7%,20.7%,8.0%
Georgia,Floyd County,"99,127",10.2%,12.2%,73.9%,14.6%,0.4%,1.5%,0.1%,6.9%,2.4%,24.3%,29.2%,17.9%,9.9%,10.9%,5.6%,2.3%,"$45,938",18.3%,35.6%,18.8%,19.5%,7.8%
Georgia,Forsyth County,"256,005",8.4%,10.0%,72.4%,4.3%,0.4%,16.6%,0.1%,4.0%,2.3%,7.3%,11.7%,11.9%,12.4%,22.2%,19.6%,14.8%,"$113,936",6.5%,16.6%,16.3%,41.0%,19.6%
Georgia,Gilmer County,"32,023",10.9%,12.9%,89.2%,0.9%,0.5%,0.7%,0.2%,7.1%,1.6%,20.6%,25.7%,19.0%,12.7%,13.0%,6.3%,2.8%,"$54,946",17.9%,36.5%,18.3%,19.5%,7.8%
Georgia,Gwinnett County,"954,073",18.8%,22.3%,44.0%,29.3%,0.5%,12.5%,0.0%,9.7%,4.0%,11.9%,18.9%,17.5%,14.8%,19.4%,12.2%,5.2%,"$77,815",12.7%,22.7%,19.1%,32.5%,13.0%
Georgia,Habersham County,"45,751",13.1%,16.3%,82.6%,4.0%,0.6%,2.2%,0.2%,8.3%,2.2%,22.7%,22.5%,20.2%,12.5%,14.2%,6.0%,1.9%,"$55,988",21.7%,33.8%,19.2%,16.7%,8.6%
Georgia,Haralson County,"30,123",3.7%,2.2%,91.6%,4.7%,0.3%,0.9%,0.1%,0.7%,1.7%,24.8%,22.7%,16.2%,11.8%,13.4%,9.8%,1.3%,"$53,948",19.1%,36.7%,24.4%,13.9%,5.9%
Georgia,Heard County,"12,008",2.0%,3.3%,85.5%,9.7%,0.4%,0.5%,0.0%,1.3%,2.6%,23.9%,23.1%,18.9%,15.2%,13.7%,4.2%,0.9%,"$53,879",20.6%,43.7%,20.4%,10.6%,4.7%
Georgia,Jeff Davis County,"15,144",7.9%,13.0%,73.8%,14.5%,0.3%,0.6%,0.0%,9.1%,1.7%,32.2%,33.9%,13.7%,11.3%,7.5%,1.0%,0.4%,"$36,356",22.3%,40.4%,19.4%,14.0%,3.9%
Georgia,Long County,"20,279",9.1%,11.1%,60.0%,26.9%,0.7%,1.3%,0.4%,6.5%,4.2%,19.8%,20.4%,25.0%,14.7%,15.4%,3.4%,1.3%,"$59,785",14.7%,31.8%,29.8%,16.8%,6.9%
Georgia,Meriwether County,"21,157",3.4%,2.5%,57.2%,38.7%,0.5%,0.6%,0.0%,1.1%,2.0%,34.2%,25.8%,16.4%,10.9%,8.1%,3.2%,1.5%,"$40,093",20.6%,39.0%,23.3%,12.7%,4.4%
Georgia,Monroe County,"27,820",4.2%,2.7%,73.4%,22.3%,0.3%,1.2%,0.0%,1.1%,1.6%,21.4%,19.3%,18.2%,10.1%,14.3%,10.7%,6.0%,"$62,776",14.9%,34.0%,18.9%,20.7%,11.5%
Georgia,Murray County,"40,293",14.5%,16.7%,86.0%,0.9%,0.5%,0.5%,0.1%,10.2%,1.8%,20.6%,28.7%,20.0%,13.3%,12.6%,3.6%,1.2%,"$50,792",30.4%,37.9%,17.3%,11.3%,3.0%
Georgia,Paulding County,"174,412",6.1%,7.4%,71.8%,21.3%,0.3%,1.2%,0.1%,2.4%,2.9%,10.9%,17.9%,19.6%,14.5%,21.3%,12.7%,3.2%,"$77,901",9.2%,32.4%,25.0%,25.4%,8.0%
Georgia,Rabun County,"17,413",8.7%,8.5%,91.6%,1.5%,0.5%,1.0%,0.1%,3.2%,2.0%,25.2%,28.6%,15.8%,11.5%,10.1%,5.5%,3.3%,"$46,184",15.7%,34.1%,19.5%,19.9%,10.8%
Georgia,Union County,"25,281",3.4%,3.9%,95.2%,0.9%,0.5%,0.7%,0.0%,1.3%,1.3%,23.4%,26.8%,17.2%,13.9%,12.3%,3.8%,2.7%,"$49,797",10.9%,34.2%,23.9%,20.1%,10.8%
Georgia,Walker County,"70,107",3.6%,2.7%,91.4%,4.5%,0.3%,0.8%,0.0%,1.0%,2.0%,27.7%,27.0%,18.3%,10.8%,10.2%,3.9%,2.1%,"$44,881",15.3%,34.5%,22.3%,22.5%,5.5%
Idaho,Benewah County,"9,370",3.4%,4.2%,86.4%,0.5%,7.8%,0.3%,0.1%,0.8%,4.1%,23.2%,27.2%,22.1%,11.8%,10.3%,4.4%,1.0%,"$49,548",11.8%,39.1%,25.6%,18.4%,5.1%
Idaho,Blaine County,"23,430",17.9%,23.8%,81.0%,0.6%,0.7%,1.2%,0.2%,14.1%,2.2%,19.5%,25.0%,16.1%,13.3%,15.0%,6.6%,4.5%,"$58,585",11.3%,22.2%,20.4%,33.1%,12.9%
Idaho,Bonner County,"47,036",3.2%,3.6%,94.7%,0.3%,0.8%,0.8%,0.1%,0.6%,2.6%,22.1%,23.5%,18.5%,13.6%,13.6%,6.2%,2.5%,"$55,928",9.0%,30.6%,28.8%,24.1%,7.5%
Idaho,Bonneville County,"122,105",11.2%,14.1%,88.0%,0.7%,0.9%,1.2%,0.1%,6.3%,2.8%,14.7%,22.0%,20.1%,13.8%,16.4%,9.0%,3.9%,"$66,508",7.7%,26.7%,25.0%,30.9%,9.7%
Idaho,Cassia County,"24,237",23.0%,28.7%,77.9%,0.7%,1.0%,0.6%,0.4%,16.4%,3.0%,19.8%,25.6%,21.9%,12.8%,13.0%,4.9%,2.0%,"$55,182",17.3%,30.2%,26.3%,21.8%,4.4%
Idaho,Custer County,"4,370",4.3%,5.1%,93.7%,0.6%,0.8%,0.4%,0.1%,1.9%,2.6%,30.7%,28.9%,15.2%,13.8%,8.6%,2.5%,0.3%,"$38,570",10.7%,30.0%,27.1%,26.6%,5.6%
Idaho,Elmore County,"27,863",14.1%,18.4%,79.6%,3.2%,1.1%,3.0%,0.3%,8.1%,4.6%,25.2%,28.6%,20.7%,12.6%,8.5%,3.6%,0.8%,"$46,660",10.5%,28.2%,31.7%,25.2%,4.4%
Idaho,Gooding County,"15,182",28.4%,30.5%,77.9%,0.5%,1.2%,0.7%,0.2%,16.6%,2.9%,18.6%,30.4%,22.0%,11.5%,11.4%,5.3%,0.9%,"$51,186",19.9%,37.5%,21.4%,16.5%,4.8%
Idaho,Jerome County,"24,843",30.8%,38.7%,75.0%,0.5%,1.3%,0.5%,0.1%,19.7%,2.8%,20.7%,25.8%,21.9%,12.1%,13.0%,5.1%,1.5%,"$53,973",21.8%,33.0%,22.3%,18.7%,4.2%
Idaho,Latah County,"40,529",5.6%,5.0%,90.2%,1.2%,0.8%,2.8%,0.2%,1.3%,3.5%,24.5%,24.7%,17.6%,10.7%,12.5%,6.6%,3.3%,"$51,131",3.6%,20.0%,23.0%,34.6%,18.7%
Idaho,Lemhi County,"8,112",3.0%,4.0%,95.0%,0.4%,1.1%,0.4%,0.0%,1.0%,2.1%,27.7%,29.8%,18.3%,10.5%,10.6%,2.7%,0.4%,"$43,312",7.7%,32.1%,31.1%,22.1%,7.0%
Idaho,Teton County,"12,619",16.4%,17.1%,84.9%,0.4%,0.4%,0.5%,0.1%,11.9%,1.8%,14.0%,19.9%,16.9%,15.0%,22.5%,8.7%,2.9%,"$73,813",7.1%,16.4%,26.6%,39.4%,10.5%
Idaho,Valley County,"11,832",4.0%,5.1%,93.3%,0.4%,1.2%,0.7%,0.1%,2.0%,2.3%,16.6%,23.5%,18.5%,12.8%,14.8%,8.7%,5.1%,"$63,351",5.5%,30.1%,28.7%,23.3%,12.5%
